Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,AlphaCode,Numeric code
7,S. Korea,30197066,33486,29740877,422703,15804065,51329899,KOR,410
187,Saint Kitts and Nevis,6592,46,6537,9,126903,53871,KNA,659
153,Saint Lucia,29803,409,29095,299,210983,185113,LCA,662
173,Saint Martin,12233,63,1399,10771,112382,39730,MAF,663
194,Saint Pierre Miquelon,3452,2,2449,1001,254,5759,SPM,666
167,Samoa,16087,29,1605,14453,187397,202239,WSM,882
157,San Marino,23427,122,23276,29,157634,34085,SMR,674
189,Sao Tome and Principe,6289,77,6202,1,29036,227679,STP,678
73,Saudi Arabia,827962,9574,815528,286,45048008,35844909,SAU,682
125,Senegal,88902,1971,86929,2,1146543,17653671,SEN,686
41,Serbia,2471198,17701,2440527,1297,12154486,8653016,SRB,688
43,Singapore,2217110,1722,2144490,70898,24756666,5943546,SGP,702
178,Sint Maarten,11010,89,10905,16,62056,43966,SXM,534
47,Slovakia,1860893,20946,1839309,638,7390781,5460193,SVK,703
55,Slovenia,1321852,7056,1311159,3637,2824843,2078034,SVN,705
155,Somalia,27318,1361,13182,12775,400466,16841795,SOM,706
36,South Africa,4055966,102595,3912506,40865,26473049,60756135,ZAF,710
164,South Sudan,18368,138,18115,115,41028,11618511,SSD,728
11,Spain,13731478,118434,13557699,55345,471036328,46719142,ESP,724
76,Sri Lanka,671989,16828,655158,3,6486117,21575842,LKA,144
181,St. Vincent Grenadines,9585,123,9454,8,113504,111551,VCT,670
134,Sudan,63742,5001,58284,457,562941,45992020,SDN,729
40,Sweden,2693458,23246,2658039,12173,19410527,10218971,SWE,752
34,Switzerland,4385701,14452,4366770,4479,23318743,8773637,CHE,756
138,Syria,57453,3164,54289,0,146269,19364809,SYR,760
15,Taiwan,9569611,16356,9129766,423489,30207485,23888595,TWN,158
29,Thailand,4726984,33865,4692636,483,17270775,70078203,THA,764
158,Timor-Leste,23415,138,23102,175,278529,1369429,TLS,626
146,Togo,39354,290,39061,3,806803,8680837,TGO,768
166,Tonga,16734,13,15638,1083,535009,107749,TON,776
110,Trinidad and Tobago,187908,4326,183264,318,888936,1406585,TTO,780
188,Turks and Caicos,6522,38,6451,33,611527,39741,TCA,796
66,UAE,1049409,2348,1032735,14326,198638806,10081785,ARE,784
114,Uganda,170400,363,100431,66339,3012408,48432863,UGA,800
9,UK,24274361,204171,24020088,50102,522526476,68497907,GBR,826
25,Ukraine,5370131,11102,5253302,5809,32603805,43192122,UKR,804
67,Uruguay,1032710,7609,1023939,1162,6114822,3496016,URY,858
1,USA,104196861,1132935,101322779,1741147,1159832679,334805269,USA,840
105,Uzbekistan,250567,1637,241486,7444,1377915,34382084,UZB,860
174,Vanuatu,12014,14,11976,24,24976,321832,VUT,548
84,Venezuela,551587,5845,545003,739,3359014,29266991,VEN,862
12,Vietnam,11526508,43186,10612479,870843,85826548,98953541,VNM,704
195,Wallis and Futuna,3427,7,438,2982,20508,10982,WLF,876
176,Yemen,11945,2159,9124,662,329592,31154867,YEM,887
96,Zambia,340763,4047,335104,1612,3865993,19470234,ZMB,894
104,Zimbabwe,261606,5652,254951,1003,2525756,15331428,ZWE,716
