GISJOIN,diff
G1302190,0.40105097215
G1302210,0.42
G1302230,0.41240847664900004
G1302250,0.03009627067999998
G1302270,0.691889572307
G1302290,0.7397560641359999
G1302310,0.6955619596539999
G1302330,0.575151857607
G1302350,0.37020566981600006
G1302370,0.39985155338800005
G1302390,0.10919540229899999
G1302410,0.60938482828
G1302430,-0.11295336787600002
G1302450,-0.32375386914300003
G1302470,-0.259198169677
G1302490,0.5610267155569999
G1302510,0.176346727496
G1302530,0.32345540956100005
G1302550,0.24244410177300002
G1302570,0.599077868852
G1302590,-0.20214320506500005
G1302610,-0.022327531213000018
G1302630,-0.24822695035500003
G1302650,-0.21850613154900006
G1302670,0.49629306585300004
G1302690,0.22545561434400008
G1302710,0.299420137058
G1302730,-0.09452022014900002
G1302750,0.21820608649200002
G1302770,0.37417943107199997
G1302790,0.469257795345
G1302810,0.6201308355640001
G1302830,0.35111111111099996
G1302850,0.23440468344100002
G1302870,0.251032448377
G1302890,0.015790772266999986
G1302910,0.655120857214
G1302930,0.34941413401700006
G1302950,0.6151050586910001
G1302970,0.564353741497
G1302990,0.41744855967100003
G1303010,-0.13807890222999997
G1303030,-0.005818095463999973
G1303050,0.58866615266
G1303070,0.14272890484699996
G1303090,0.36869647954299994
G1303110,0.686347803924
G1303130,0.447566036493
G1303150,0.418432559704
G1303170,0.16219239373600003
G1303190,0.10266604303099996
G1303210,0.49951609000799996
G1500010,-0.366268403607
G1500030,-0.29871570936999997
G1500070,-0.3372697930510001
G1500090,-0.38569943398400003
G1600010,0.09239877905999999
G1600030,0.52267521759
G1600050,0.20469989522500004
G1600070,0.6653005464485999
G1600090,0.5536736641219999
G1600110,0.48018045112799995
G1600130,-0.286860020516
G1600150,0.49737670514200005
G1600170,0.302111210229
G1600190,0.4019044603280001
G1600210,0.554563106796
G1600230,0.613008130081
G1600250,0.500834724541
G1600270,0.41762606413299996
G1600290,0.6602965403629
G1600310,0.6007581315720001
G1600350,0.565114443567
G1600370,0.559469539992
G1600390,0.469773447587
G1600410,0.6393889798148
G1600430,0.602030101505
G1600450,0.5974597585520001
G1600470,0.541899441341
G1600490,0.6378450687099999
G1600510,0.6503356289778
G1600530,0.490297178214
G1600550,0.42520290860800003
G1600570,-0.046180976523999995
G1600590,0.559980334317
G1600610,0.5861635220120001
G1600630,0.47139588100600005
G1600650,0.4934021801487
G1600670,0.541484716157
G1600690,0.34143646408800005
G1600710,0.6513539651837
G1600730,0.627806122449
G1600750,0.598632298791
G1600770,0.350616388688
G1600790,0.37363281249999997
G1600810,0.0008054772449999636
G1600830,0.44583450914
G1600850,0.185642176108
G1600870,0.562864840593
G1700010,0.47525967894200005
G1700030,0.08297872340499995
G1700050,0.377646743501
G1700070,0.14639001946600005
G1700090,0.556934931507
G1700110,0.199595166534
G1700130,0.38341158059499997
G1700150,0.27073701387
G1700170,0.31638306292
G1700190,-0.18452621193700003
G1700210,0.427171783148
G1700230,0.479217291213
G1700250,0.636349155782
G1700270,0.48963400509599997
G1700290,0.264133456905
G1700310,-0.529564546774
G1700330,0.491007405666
G1700350,0.575367313623
G1700370,-0.030442436333000034
G1700390,0.42375150622599994
G1700410,0.46346890839399996
G1700430,-0.140808710457
G1700450,0.495438776821
G1700470,0.708031400966
G1700490,0.6048886848749999
G1700510,0.583184445612
G1700530,0.487199872794
G1700550,0.452705983921
G1700570,0.15145108591199996
G1700590,0.477889260498
G1700610,0.529953085528
G1700630,0.23572583111299994
G1700650,0.5804972242340001
G1700670,0.5076745970830001
G1700690,0.577121425223
G1700710,0.28793103448300006
G1700730,0.21157972928399998
G1700750,0.559622378704
G1700770,-0.029784976947999975
G1700790,0.59737460815
G1700810,0.43245332382
G1700830,0.464203868366
G1700850,0.14860875011200003
G1700870,0.5831809872029999
G1700890,-0.08941602067199994
G1700910,0.13259300627199994
G1700930,0.014956213715999978
G1700950,0.032735385176
G1700970,-0.20294031487800002
G1700990,0.14432266187799997
G1701010,0.534691174035
G1701030,0.20361485376199995
G1701050,0.41017488076299996
G1701070,0.40115416323100006
G1701090,0.117041053447
G1701110,0.08055942060000004
