GISJOIN,race_white,race_black,race_hispanic,sex_female,age_0_17,age_over65,ind_divorce,marriage_never_married,lang_second_eng,empl_civilian_unemployed,ind_agriculture,income_median,public_asist,gini_index,transp_car,transp_public,pov_under_1,insured_under65,house_vacant,housevalue_median,POP16dens,MEDIAN_INCOME08_16,POP08_16,edu_high,housevalue_IQR
G3701410,0.7447922211576,0.163526030022357,0.0643209482238546,0.502430888250115,0.224475673373789,0.171492955747188,0.202984245406564,0.266115162729945,0.0711502873283334,0.0575271073029614,0.0208482802278962,46580,0.160611668452323,0.4635,0.921588813108566,0.0021447261184746,0.186917244131626,0.817025483304042,0.249570588020319,160300.0,24.8078926760857,0.056930861564294,0.0745705188094647,0.231057631412286,187000.0
G3701430,0.71841128433556,0.24075723830735,0.0244246473645137,0.521974758723088,0.202301410541945,0.24536005939124,0.187743482169613,0.205404923296468,0.0269702276707531,0.0573770491803279,0.0551839464882943,45208,0.204728546409807,0.4515,0.907038012796387,0.0,0.165010088932068,0.80377993271324,0.187188612099644,165000.0,21.0301494592582,0.0659750058948361,0.0041747428060236,0.174051896207585,184000.0
G3701450,0.664889274415757,0.265690376569038,0.0409480559240739,0.514771915501582,0.219078477395653,0.173359526482294,0.231742170872606,0.28806328049578,0.0568049631640171,0.0791385161924699,0.0163339382940109,43297,0.205053638361122,0.4365,0.956502934816188,0.0021007105344454,0.184522576636288,0.857098506721306,0.150013732491074,116000.0,37.4236174763214,0.0001154947796359,-0.0032043131071664,0.149025019063873,101900.0
G3701470,0.555443905224094,0.341775620896375,0.0592349414787325,0.528889523265772,0.220428204396232,0.113628318584071,0.214940075521261,0.432208851094829,0.0716964129992443,0.075044014084507,0.0140220767899021,42308,0.160848206499622,0.4926,0.924505410156734,0.0112536212147473,0.245496096320404,0.847612145995225,0.103460856874805,135000.0,103.184309622445,0.0458815386136656,0.0428636923864699,0.294586493701751,122600.0
G3701490,0.880633733517024,0.0533359574886833,0.0565341468214918,0.521157252509349,0.173784688053533,0.275093485534344,0.191797225825766,0.226602673980117,0.0509120295543755,0.0419227646990607,0.0125690120991425,47396,0.121911798660817,0.4598,0.89588086946079,0.0068452023537888,0.145172586293147,0.826315072226765,0.246586065930243,208000.0,32.8970582998546,0.108367241943782,-0.0030413028549005,0.317911988643696,228000.0
G3701510,0.80180660364126,0.0582727859286897,0.108480377030325,0.507104384660701,0.235700058910988,0.161065447302718,0.222164746453484,0.252158729607172,0.0950732453902777,0.0426980417153582,0.0174990261005064,43010,0.153778879090445,0.418,0.952493455079497,0.0041344741715088,0.168595780315234,0.819801813906617,0.104811613113685,118900.0,69.6912067808506,0.0345159350571257,0.0072050180831827,0.151185334878902,89800.0
G3701530,0.578210457230365,0.315663968497047,0.0611682345219864,0.516232771822358,0.235156420914461,0.160665062349595,0.239224137931034,0.325946795253833,0.057698558890454,0.0623119185003175,0.0268549600648223,32526,0.267797161122548,0.4733,0.953440582433067,0.0002348520432127,0.25837698699422,0.822996964894846,0.121005762179151,80500.0,36.7689940289599,0.0252159112399924,-0.0192670786131136,0.138090583251874,72000.0
G3701550,0.259778861015337,0.241684995838783,0.0833209487575794,0.517662881940316,0.259518784924504,0.130320413743907,0.266801905097901,0.38441282891621,0.0723962190181644,0.0561235315676781,0.0277852935667159,31298,0.30459119222895,0.4889,0.964946241084015,0.001241399625476,0.307671759803398,0.796180051186277,0.122405290722122,71000.0,54.6958635887373,0.0374912984386913,0.0048984468339307,0.126291564907007,81100.0
G3701570,0.728720973252954,0.183126945091297,0.0589675509804348,0.517802346079349,0.210178676358571,0.182789614572678,0.245497914429153,0.26400073567084,0.0570887662320348,0.0538309467835007,0.0117298239225988,40003,0.19123803429059,0.4361,0.948040475425634,0.0024092515258593,0.193810714522803,0.852068152593228,0.139661856805304,107200.0,61.9491278060566,0.0525997263445953,-0.0146465946131411,0.138306328339957,91300.0
G3701590,0.731163568719627,0.15971130690585,0.0806884219937416,0.505566210506583,0.22698891083969,0.162624194269399,0.226055371430484,0.276149662398964,0.0837252691724647,0.0622993977424357,0.0108191920062021,44494,0.157383293815835,0.444,0.933017377567141,0.0034053010356327,0.179575867121892,0.832345055847139,0.149126868633417,130500.0,102.209500957288,0.0705709679747841,0.0036544153297296,0.176247231304715,115000.0
G3701610,0.836869012458584,0.102202365781622,0.0401793076565569,0.51437009939881,0.212845384626917,0.195454341014378,0.244151745901077,0.24953772524564,0.0445451113627784,0.052956004931275,0.0109765625,36144,0.227670819177048,0.4413,0.941547804546726,0.0018778217267969,0.193230525175796,0.826633544113219,0.218768432228383,107600.0,45.4046363769413,0.0056481455719095,-0.0110458737360257,0.167282088072078,108200.0
G3701630,0.520647277635647,0.252318992984163,0.182490229623468,0.510460973427715,0.24826958391537,0.161756627375889,0.21815611748076,0.302081891694181,0.123917956590337,0.0563343456487199,0.105778503078407,36742,0.220161187156198,0.4721,0.946523860344565,0.0026680896478121,0.241707065087817,0.791432491870454,0.136370332179421,87900.0,25.9599450918619,-0.0188266082730259,0.0048101185970225,0.119238005644403,102000.0
G3701650,0.444344879728935,0.383299263532245,0.0273585169835625,0.504802441824648,0.234969617204783,0.159082635602475,0.235266346683453,0.370797443734371,0.0414634146341463,0.0617353396146815,0.0309205903021785,30013,0.280335365853659,0.4741,0.948676391139924,0.0017107869620025,0.314884922781083,0.839385179440175,0.135306135899295,83200.0,43.0363454717897,-0.0150630086636913,-0.0153035901395246,0.146867337448212,83600.0
G3701670,0.815162514436562,0.104817686850355,0.0386899851509652,0.502425342352747,0.219105758125722,0.174971126876753,0.216908212560386,0.266171557380349,0.0488383924029168,0.0627096457498159,0.0203377110694184,44140,0.156520264541292,0.4213,0.944741260876202,0.0015646466188368,0.171374475488691,0.851740928631094,0.135400630452313,129300.0,57.8001607838163,0.0204364712409839,0.0020003637024913,0.161046539436552,110100.0
G3701690,0.914558801369126,0.0413751533808365,0.0279637483047381,0.510279206940348,0.20149398316578,0.188706865003337,0.192475940507437,0.23001362853249,0.0316310578426264,0.0428766475870399,0.011752506049084,42489,0.14882751433038,0.418,0.936792879770704,0.0,0.153795825791115,0.845764652624291,0.122462044997256,120900.0,39.3496419795022,0.0003060551841039,-0.0163264441809249,0.143167350823963,94600.0
G3701710,0.846894883669795,0.0366237442796872,0.0992482856239779,0.51321340717633,0.22180383965259,0.189192903376531,0.18541618762934,0.227620069041794,0.0782328258834137,0.0329977342805063,0.0290738806724388,37345,0.176578700974443,0.4681,0.952012330878575,0.0059256722041445,0.178508178661572,0.816157078930802,0.14239405204461,119300.0,52.2480062438834,0.0334283421424025,-0.0106592704381994,0.152815751686697,112600.0
G3701730,0.633623717858648,0.0130673036391738,0.0472811577912042,0.512435014753407,0.231277223549248,0.187719544752002,0.282500429331959,0.252740560292326,0.0470046082949309,0.0369230769230769,0.0214028776978417,33598,0.130875576036866,0.4684,0.954842321328606,0.0,0.234238741958542,0.733373902460228,0.383312492895305,121900.0,10.1677529223182,-0.226316031870308,0.0170775276884602,0.153349061442199,116400.0
G3701750,0.893412376746718,0.0385034178210635,0.0309721129998185,0.51878289274696,0.165779444679693,0.279414433488597,0.193394517570342,0.226881042454813,0.0468896756014739,0.0341813530415009,0.017735233006827,43918,0.134022108229174,0.4353,0.896240831295844,0.0040495110024449,0.143552919138308,0.762374143328539,0.285293813900651,203100.0,33.5521976070388,0.0796499336250553,0.007220106626047,0.29654978058698,174800.0
G3701770,0.520106589147287,0.362645348837209,0.102713178294574,0.436773255813953,0.173691860465116,0.200823643410853,0.232693426410704,0.313484111079301,0.0768702814001372,0.059572006940428,0.125628140703518,32165,0.214824982841455,0.4695,0.96549245147376,0.0,0.252652149637074,0.781725888324873,0.28857421875,112400.0,4.06971757461395,-0.0428507662550216,-0.0547286466681933,0.0824246311738294,103500.0
